u,g,r,i,z,class,z1,zerr,u-g,g-r,r-i,i-z,class_encoded
19.19172,17.93583,17.36864,17.01859,16.9223,GALAXY,0.1014871,1.279388e-05,1.2558900000000008,0.5671900000000001,0.35004999999999953,0.09628999999999976,0
18.78835,16.70574,15.66008,15.19432,14.80908,GALAXY,0.1020683,2.074856e-05,2.0826100000000025,1.045659999999998,0.4657600000000013,0.3852399999999996,0
19.23742,17.83966,17.06841,16.62918,16.31898,GALAXY,0.1207444,1.044268e-05,1.3977600000000017,0.7712499999999984,0.43922999999999845,0.3102000000000018,0
17.76473,16.01048,15.51062,15.11487,15.05894,STAR,-6.487832e-05,6.573351e-06,1.754249999999999,0.49986000000000175,0.3957499999999996,0.055930000000000035,2
18.49095,15.51332,13.43798,15.91221,12.55768,STAR,-0.0004531919,8.936027e-06,2.9776300000000013,2.0753400000000006,-2.4742300000000004,3.3545300000000005,2
19.4326,19.09909,18.79018,18.63148,18.63278,QSO,1.142104,0.0003127876,0.3335100000000004,0.3089100000000009,0.15869999999999962,-0.001300000000000523,1
19.25042,17.82603,17.16569,16.79605,16.54667,GALAXY,0.1013898,1.994993e-05,1.424389999999999,0.6603399999999979,0.3696400000000004,0.24938000000000216,0
17.85193,17.54886,17.83968,18.07596,18.33173,STAR,-8.911979e-05,1.947761e-05,0.3030699999999982,-0.2908200000000001,-0.23627999999999716,-0.25577000000000183,2
19.59945,18.26163,17.74958,17.45231,17.27181,GALAXY,0.05380653,1.108074e-05,1.3378200000000007,0.5120499999999986,0.29727000000000103,0.1805000000000021,0
19.30869,18.97735,18.85721,18.4624,18.87657,GALAXY,0.1136046,7.470974e-06,0.3313399999999973,0.1201400000000028,0.39480999999999966,-0.41417000000000215,0
18.9997,17.55781,17.0202,16.83107,16.75085,STAR,-7.704733e-05,8.594456e-06,1.4418900000000008,0.5376100000000008,0.1891299999999987,0.08022000000000062,2
19.14079,17.67933,16.98085,16.63136,16.3787,GALAXY,0.04123991,2.285102e-05,1.4614599999999989,0.69848,0.3494899999999994,0.2526600000000023,0
17.8151,16.61195,16.15531,15.98473,15.91836,STAR,-0.0002834979,8.379106e-06,1.2031500000000008,0.45664000000000016,0.1705799999999993,0.06637000000000093,2
19.01849,17.99281,17.64551,17.41392,17.2306,GALAXY,0.03278003,1.609978e-05,1.0256800000000013,0.34729999999999706,0.23159000000000063,0.18332000000000193,0
19.40915,18.09488,17.5378,17.3225,17.20436,STAR,0.0001046162,1.123908e-05,1.3142700000000005,0.5570799999999991,0.21529999999999916,0.11814000000000036,2
